name,countries
amir,"['Israel', 'Jamaica', 'Kazakhstan', 'Kyrgyzstan', 'Morocco']"
amira,['Morocco']
ammar,['Iraq']
amy,['Luxembourg']
an,['Japan']
ana,"['Brazil', 'Croatia', 'Georgia', 'Montenegro', 'Panama', 'Serbia']"
ana maria,"['Bolivia, Plurinational State of']"
anahit,['Armenia']
anar,['Azerbaijan']
anastasia,"['Georgia', 'Moldova, Republic of', 'Romania', 'Russian Federation']"
anastasija,['Montenegro']
anastasiya,"['Russian Federation', 'Ukraine']"
andrea,"['Italy', 'Philippines']"
andreas,['Cyprus']
andreea,['Romania']
andrei,['Russian Federation']
andrej,['Montenegro']
andria,['Georgia']
andrias,['Faroe Islands']
andriy,['Ukraine']
androula,['Cyprus']
ane,['Spain']
angel,"['Ecuador', 'Philippines']"
angela,['Philippines']
angeliki,['Greece']
angelina,['Armenia']
angeline,['Haiti']
angelo,['Philippines']
anna,"['Armenia', 'Austria', 'Cyprus', 'Czechia', 'France', 'Gibraltar', 'Hungary', 'Latvia', 'Russian Federation', 'Ukraine']"
annie,['United Kingdom']
antonella,"['Colombia', 'Venezuela, Bolivarian Republic of']"
antoni,['Poland']
antonia,['Brazil']
antonio,"['Brazil', 'Equatorial Guinea', 'Paraguay']"
anzu,['Japan']
ao,['Japan']
aoi,['Japan']
aoife,['United Kingdom']
aputsiaq,['Greenland']
aras,['Türkiye']
archie,"['Guernsey', 'Isle of Man', 'United Kingdom']"
areg,['Armenia']
ari,"['Israel', 'New Zealand']"
aria,"['Albania', 'Iran, Islamic Republic of', 'Jamaica', 'Jersey', 'New Zealand']"
ariana,"['Jamaica', 'Peru']"
arianna,['Jamaica']
ariel,['Israel']
arjun,['India']
arman,['Armenia']
armen,['Armenia']
armine,['Armenia']
aron,"['Albania', 'Estonia', 'Iceland']"
arpi,['Armenia']
artem,"['Russian Federation', 'Ukraine']"
arthur,"['Belgium', 'Brazil', 'Canada', 'France', 'Guernsey', 'Jersey', 'United Kingdom']"
artiom,"['Moldova, Republic of', 'Romania']"
artur,['Armenia']
artyom,['Russian Federation']
asel,['Türkiye']
asemahle,['South Africa']
ashot,['Armenia']
ashraqat,['Egypt']
asiya,['Tajikistan']
asja,['Bosnia and Herzegovina']
asmita,['Nepal']
assia,['Morocco']
asta,['Denmark']
astrid,['El Salvador']
asya,['Türkiye']
athanasios,['Greece']
atlas,['Iceland']
august,"['Denmark', 'El Salvador']"
aurora,"['Italy', 'New Zealand', 'Puerto Rico', 'San Marino']"
ava,"['Australia', 'Canada', 'Gibraltar', 'Iran, Islamic Republic of', 'Ireland', 'New Zealand', 'United Kingdom', 'United States']"
aviana,['Greenland']
avigail,['Israel']
awa,['Mali']
aya,"['Egypt', 'Libya', 'Morocco']"
ayala,"['Israel', 'Kazakhstan']"
ayesha,"['Pakistan', 'United Arab Emirates']"
aygun,['Azerbaijan']
ayim,['Kazakhstan']
ayla,['Azerbaijan']
aylin,"['Azerbaijan', 'Kazakhstan', 'Kyrgyzstan']"
ayoub,['Morocco']
ayra,['Malaysia']
aysa,['Kazakhstan']
ayse,['Türkiye']
aysel,['Azerbaijan']
azaria,['Jamaica']
azariah,['Jamaica']
aziz,['Tunisia']
azra,['Türkiye']
aþena,['Iceland']
bader,['Kuwait']
bakary,['Mali']
bandar,['Saudi Arabia']
banele,['South Africa']
baran,"['Iran, Islamic Republic of']"
barbara,['United States']
barbare,['Georgia']
bautista,['Argentina']
bayarmaa,['Mongolia']
beatrice,['Italy']
beatriz,"['Paraguay', 'Portugal']"
ben,"['Germany', 'Luxembourg']"
benas,['Lithuania']
bence,['Hungary']
benedita,['Portugal']
benicio,['Argentina']
benjamin,"['Canada', 'Chile', 'Isle of Man', 'United States', 'Uruguay']"
bibek,['Nepal']
biel,"['Andorra', 'Spain']"
bilal,"['Egypt', 'Kyrgyzstan', 'Pakistan']"
biljana,['North Macedonia']
binita,['Nepal']
bintou,['Mali']
bisera,['North Macedonia']
bishal,['Nepal']
bogdan,"['Moldova, Republic of', 'Montenegro', 'Romania']"
bogdana,['Montenegro']
boglarka,['Hungary']
bolormaa,['Mongolia']
boris,['Bulgaria']
brahim,['Algeria']
bruno,['Argentina']
camila,"['Mexico', 'Panama', 'Peru', 'Portugal', 'Venezuela, Bolivarian Republic of']"
camille,['Belgium']
carl,['Denmark']
carla,['Spain']
carlos,"['Brazil', 'Ecuador', 'Panama', 'Paraguay']"
carmen,"['Bolivia, Plurinational State of']"
carolina,"['Paraguay', 'Portugal']"
catalina,"['Argentina', 'Puerto Rico', 'Uruguay']"
cecilia,['Brazil']
celeste,['Colombia']
celine,['Israel']
cesar,['Paraguay']
charbel,"['Israel', 'Lebanon']"
charles,['United States']
charlie,"['Australia', 'Canada', 'Ireland', 'New Zealand', 'United Kingdom']"
charlotte,"['Australia', 'Canada', 'Guernsey', 'Luxembourg', 'New Zealand', 'United Kingdom', 'United States']"
chedeline,['Haiti']
chia-hao,"['Taiwan, Province of China']"
chien-hung,"['Taiwan, Province of China']"
chih-hao,"['Taiwan, Province of China']"
chih-ming,"['Taiwan, Province of China']"
chih-wei,"['Taiwan, Province of China']"
chloe,"['Canada', 'France', 'Gibraltar', 'Monaco', 'Philippines']"
christian,['Lebanon']
christina,"['Cyprus', 'Lebanon']"
christos,"['Cyprus', 'Greece']"
chun-chieh,"['Taiwan, Province of China']"
chun-hung,"['Taiwan, Province of China']"
cillian,"['Ireland', 'United Kingdom']"
ciro,['Argentina']
clara,"['Denmark', 'Germany']"
concepcion,['Paraguay']
daisy,['Jersey']
dalal,"['Egypt', 'Kuwait']"
dalila,['Bosnia and Herzegovina']
damian,"['Moldova, Republic of', 'Romania']"
damjan,['North Macedonia']
dan,['Japan']
danel,['Spain']
daniel,"['Aruba', 'Bulgaria', 'Georgia', 'Gibraltar', 'Haiti', 'Hungary', 'Ireland', 'Israel', 'Mexico', 'Moldova, Republic of', 'Paraguay', 'Romania', 'Spain']"
daniel alejandro,"['Venezuela, Bolivarian Republic of']"
daniela,['Spain']
daniels,['Latvia']
daniil,['Russian Federation']
danijel,['Serbia']
danna,"['Ecuador', 'Peru']"
danylo,['Ukraine']
daria,"['Moldova, Republic of', 'Romania']"
darija,['North Macedonia']
daris,['Bosnia and Herzegovina']
davi,['Brazil']
david,"['Austria', 'Bolivia, Plurinational State of', 'Croatia', 'Estonia', 'Israel', 'Luxembourg', 'Moldova, Republic of', 'North Macedonia', 'Paraguay', 'Romania', 'United States', 'Venezuela, Bolivarian Republic of']"
davit,"['Armenia', 'Georgia']"
davud,['Bosnia and Herzegovina']
defne,['Türkiye']
dejan,"['North Macedonia', 'Serbia']"
delfina,['Argentina']
demetre,['Georgia']
dhia,['Malaysia']
dhruv,['India']
diego,"['Mexico', 'Venezuela, Bolivarian Republic of']"
diego alejandro,"['Venezuela, Bolivarian Republic of']"
dimitar,['Bulgaria']
dimitra,['Greece']
dimitrios,"['Cyprus', 'Greece']"
dion,['Albania']
djamel,['Algeria']
djeneba,['Mali']
dmitry,['Russian Federation']
dmytro,['Ukraine']
doha,['Egypt']
dominik,['Hungary']
dominykas,['Lithuania']
dora,['Croatia']
dorothy,['United States']
dragan,"['Montenegro', 'North Macedonia', 'Serbia']"
dragana,"['Bulgaria', 'Montenegro', 'Serbia']"
duarte,['Portugal']
dunja,['Montenegro']
dusan,['Serbia']
dylan,"['Andorra', 'Aruba', 'Ecuador', 'Panama', 'Peru', 'Puerto Rico']"
dyllan,['Aruba']
dzan,['Bosnia and Herzegovina']
eabha,['Ireland']
ecrin,['Türkiye']
edoardo,"['Italy', 'San Marino']"
edouard,['Canada']
edward,['Isle of Man']
eeli,['Finland']
eevi,['Finland']
eino,['Finland']
eisha,['Libya']
eitan,['Israel']
eithan,['Panama']
elchin,['Azerbaijan']
elena,"['Austria', 'North Macedonia', 'Switzerland']"
elene,['Georgia']
eleni,"['Cyprus', 'Greece']"
elias,"['Austria', 'Finland', 'Germany', 'Israel', 'Liechtenstein', 'Switzerland']"
elie,['Lebanon']
elif,['Türkiye']
elija,['Lithuania']
elijah,['United States']
eliska,"['Czechia', 'Slovakia']"
elizabeth,"['Bolivia, Plurinational State of', 'Paraguay', 'United States']"
elizaveta,['Russian Federation']
ella,"['Australia', 'Belgium', 'Denmark', 'El Salvador', 'Germany', 'Isle of Man', 'Norway', 'United Kingdom']"
ellen,['Finland']
elli,['Estonia']
ellie,['Ireland']
elmar,['Iceland']
elnur,['Azerbaijan']
elshan,['Azerbaijan']
elyas,['Liechtenstein']
elza,['Latvia']
ema,"['Bosnia and Herzegovina', 'Croatia', 'Czechia', 'Japan', 'Serbia', 'Slovakia', 'Slovenia']"
eman,['Bosnia and Herzegovina']
embla,['Iceland']
emelia,['Isle of Man']
emely,['Aruba']
emil,"['Denmark', 'Finland', 'Germany', 'Iceland', 'Norway', 'Serbia']"
emilia,"['Austria', 'Chile', 'Germany', 'Iceland', 'Isle of Man', 'Liechtenstein', 'Switzerland']"
emiliano,"['Colombia', 'Mexico']"
emilija,['Lithuania']
emiliya,['Isle of Man']
emils,['Latvia']
emily,"['Aruba', 'Ecuador', 'Ireland', 'Jersey', 'Luxembourg', 'Panama', 'United Kingdom']"
emine,['Türkiye']
emir,['Kyrgyzstan']
emma,"['Andorra', 'Argentina', 'Austria', 'Belgium', 'Canada', 'Chile', 'Denmark', 'Ecuador', 'Faroe Islands', 'France', 'Germany', 'Hungary', 'Italy', 'Latvia', 'Liechtenstein', 'Luxembourg', 'Malta', 'Moldova, Republic of', 'Monaco', 'Netherlands', 'Norway', 'Panama', 'Puerto Rico', 'Spain', 'Switzerland', 'United States', 'Uruguay']"
emmanuel,"['Colombia', 'Haiti']"
esma,['Bosnia and Herzegovina']
esperanza,['Equatorial Guinea']
esther,['Haiti']
ethan,"['Philippines', 'Puerto Rico']"
eva,"['Armenia', 'Estonia', 'Iceland', 'Moldova, Republic of', 'North Macedonia', 'Romania', 'Russian Federation']"
evelina,"['Moldova, Republic of', 'Romania']"
evelyn,['United States']
evens,['Haiti']
evgeny,['Russian Federation']
evie,"['Guernsey', 'United Kingdom']"
eylul,['Türkiye']
eymen,['Türkiye']
ezekiel,['Philippines']
fadi,['Egypt']
fahad,['Kuwait']
fahd,"['Saudi Arabia', 'United Arab Emirates']"
faisal,['Kuwait']
fajr,['Egypt']
fanta,['Mali']
farah,"['Egypt', 'United Arab Emirates']"
farida,['Egypt']
farrah,['Pakistan']
farzana,['Pakistan']
fatemeh,"['Iran, Islamic Republic of']"
fatima,"['Azerbaijan', 'Kyrgyzstan', 'Lebanon', 'Libya', 'Pakistan', 'United Arab Emirates']"
fatin,['Egypt']
fatma,"['Egypt', 'Kuwait', 'Türkiye', 'United Arab Emirates']"
fatoumata,['Mali']
felipe,['Argentina']
felix,['Austria']
fernanda,['Brazil']
fiadh,"['Ireland', 'United Kingdom']"
filip,"['Czechia', 'Norway', 'Serbia', 'Slovakia', 'Slovenia']"
finlay,['United Kingdom']
finn,"['Germany', 'Jersey', 'Netherlands']"
florence,"['Canada', 'Guernsey', 'Jersey', 'United Kingdom']"
fozia,['Pakistan']
fran,['Croatia']
francesco,['Italy']
francisca,"['Brazil', 'Portugal']"
francisco,"['Brazil', 'Portugal']"
franciszek,['Poland']
frederick,['Jersey']
freja,"['Denmark', 'El Salvador']"
freya,['United Kingdom']
frida,"['Denmark', 'Liechtenstein', 'Norway']"
frieda,['Liechtenstein']
gabija,['Lithuania']
gabor,['Georgia']
gabriel,"['Belgium', 'Brazil', 'France', 'Georgia', 'Luxembourg', 'Monaco', 'Philippines', 'Portugal', 'Romania', 'Switzerland', 'Venezuela, Bolivarian Republic of']"
gabriela,"['Bulgaria', 'Colombia']"
gabriele,['Italy']
gael,"['Brazil', 'Ecuador', 'Peru']"
gagik,['Armenia']
gamalat,['Egypt']
gamila,['Egypt']
gaspar,['Chile']
gayane,['Armenia']
george,"['Egypt', 'Guernsey', 'Israel', 'Lebanon', 'New Zealand', 'United Kingdom']"
georgi,['Bulgaria']
georgia,"['Cyprus', 'Greece']"
georgios,"['Cyprus', 'Greece']"
geronimo,['Colombia']
gevorg,['Armenia']
gianna,"['Jamaica', 'Puerto Rico']"
gilli,['Faroe Islands']
ginevra,['Italy']
giorgi,['Georgia']
gita,['Nepal']
giulia,"['Italy', 'Malta']"
gogo,['Greece']
goktug,['Türkiye']
googoosh,['Tajikistan']
goran,"['North Macedonia', 'Serbia']"
gordana,['Serbia']
grace,"['Australia', 'Ireland', 'United Kingdom']"
guadalupe,['Colombia']
gunay,['Azerbaijan']
gunel,['Azerbaijan']
guðrun,['Iceland']
habib,['Egypt']
habiba,['Egypt']
hadicha,['Kyrgyzstan']
halim,['Egypt']
hamza,"['Bosnia and Herzegovina', 'Egypt', 'Libya']"
hana,"['Bosnia and Herzegovina', 'Egypt', 'North Macedonia', 'Serbia', 'Slovenia']"
hanna,"['Belarus', 'Hungary', 'Poland']"
hannah,"['Austria', 'Germany', 'Gibraltar']"
harper,['New Zealand']
harraz,['Malaysia']
harris,['United Kingdom']
harry,['United Kingdom']
haru,['Japan']
haruma,['Japan']
harun,['Bosnia and Herzegovina']
haruna,['Japan']
haruto,['Japan']
hasan,"['Bangladesh', 'Iraq', 'Türkiye']"
hashem,['Jordan']
hasmik,['Armenia']
hasnaa,['Egypt']
hassan,"['Egypt', 'Iran, Islamic Republic of', 'Lebanon', 'Libya']"
hatice,['Türkiye']
hawa,['Mali']
hayk,['Armenia']
heitor,['Brazil']
helena,['Brazil']
helma,"['Iran, Islamic Republic of']"
helmi,['Finland']
henry,"['Australia', 'Germany', 'United Kingdom', 'United States']"
herkus,['Lithuania']
hessa,['Saudi Arabia']
hina,"['French Polynesia', 'Japan']"
hinano,['French Polynesia']
hinata,['Japan']
hiro,['French Polynesia']
hjørdis,['Faroe Islands']
hoda,['Libya']
hosna,['Egypt']
hosniya,['Egypt']
hossein,"['Iran, Islamic Republic of']"
hovhannes,['Armenia']
hudson,"['Australia', 'New Zealand']"
hugo,"['El Salvador', 'Estonia', 'France', 'Gibraltar', 'Spain']"
hur,['United Arab Emirates']
huseyin,['Türkiye']
huseyn,['Azerbaijan']
hussa,['Kuwait']
hussain,['Pakistan']
hussein,"['Egypt', 'Iraq', 'Lebanon']"
hydar,['Iraq']
i-chun,"['Taiwan, Province of China']"
ian,"['Ecuador', 'Panama', 'Peru', 'Puerto Rico']"
ibai,['Spain']
iben,['Norway']
ibrahim,"['Egypt', 'Israel', 'Libya', 'Morocco', 'Türkiye']"
ida,['Denmark']
igor,['North Macedonia']
iker,['Andorra']
ilgar,['Azerbaijan']
ilija,['North Macedonia']
iman,['Malaysia']
imene,['Algeria']
iminathi,['South Africa']
imogen,['Guernsey']
inaya,['India']
inci,['Azerbaijan']
indira,['Tajikistan']
ines,['Morocco']
inuk,['Greenland']
ioane,['French Polynesia']
ioanna,['Cyprus']
ioannis,"['Cyprus', 'Greece']"
ion,"['Moldova, Republic of', 'Romania']"
irati,['Spain']
irene,['Egypt']
irina,['Russian Federation']
isaac,['Colombia']
isabel,['Equatorial Guinea']
isabella,"['Argentina', 'Aruba', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Faroe Islands', 'Gibraltar', 'Greenland', 'Isle of Man', 'Panama', 'United States', 'Uruguay', 'Venezuela, Bolivarian Republic of']"
isabelle,['Aruba']
isak,['Norway']
isidora,['Chile']
isla,"['Australia', 'Canada', 'Finland', 'Guernsey', 'Isle of Man', 'New Zealand', 'United Kingdom']"
islande,['Haiti']
ismail,['Türkiye']
itsuki,['Japan']
ivalu,['Greenland']
ivan,"['Bulgaria', 'Croatia', 'Montenegro', 'Russian Federation', 'Ukraine']"
ivana,"['Montenegro', 'North Macedonia', 'Serbia']"
ivik,['Greenland']
ivy,['United Kingdom']
izaro,['Spain']
izz,['Malaysia']
jack,"['Australia', 'Canada', 'Gibraltar', 'Ireland', 'Isle of Man', 'New Zealand', 'United Kingdom']"
jacob,"['Canada', 'Philippines']"
jad,['Jordan']
jade,['France']
jakob,"['Austria', 'Norway', 'Slovenia']"
jakov,"['Croatia', 'Montenegro', 'North Macedonia']"
jakub,"['Czechia', 'Poland', 'Slovakia']"
jakup,['Faroe Islands']
james,"['Ireland', 'Netherlands', 'Philippines', 'United Kingdom', 'United States']"
jameson,['Haiti']
jan,"['Czechia', 'Poland', 'Spain']"
jana,"['Andorra', 'North Macedonia']"
javier,['Paraguay']
jelena,"['Montenegro', 'Serbia']"
jennifer,['United States']
jeronimo,['Colombia']
jessica,"['Haiti', 'Lebanon']"
jiya,['India']
joao,"['Brazil', 'Portugal']"
joe,['Lebanon']
joel,['Albania']
jogvan,['Faroe Islands']
john,"['Egypt', 'United States']"
jokubas,['Lithuania']
jokull,['Iceland']
jon,"['Iceland', 'Spain']"
jonas,"['Austria', 'Faroe Islands', 'Lithuania']"
jordi,['Andorra']
jorge,"['Bolivia, Plurinational State of']"
jori,['Israel']
jose,"['Brazil', 'Ecuador', 'Equatorial Guinea', 'Paraguay']"
jose luis,"['Bolivia, Plurinational State of']"
josefa,['Chile']
joseph,['United States']
joshua,['Jamaica']
josiah,['Jamaica']
josip,['Croatia']
jouri,['Jordan']
jovan,"['Montenegro', 'North Macedonia']"
jovana,['North Macedonia']
ju-won,"['Korea, Republic of']"
juan,"['Argentina', 'Bolivia, Plurinational State of', 'Ecuador', 'Equatorial Guinea', 'Panama', 'Paraguay', 'Peru', 'Uruguay']"
juan andres,"['Venezuela, Bolivarian Republic of']"
juan carlos,"['Bolivia, Plurinational State of']"
juana,"['Bolivia, Plurinational State of']"
jude,['Israel']
judeline,['Haiti']
julen,['Spain']
jules,['Belgium']
julia,"['Faroe Islands', 'Netherlands', 'Poland', 'Spain']"
juliana,['Brazil']
julie,['Czechia']
julieta,"['Chile', 'Colombia']"
juliette,"['Belgium', 'Canada']"
julija,['Slovenia']
june,['Spain']
junior,['South Africa']
kabir,['India']
kabita,['Nepal']
kadiatou,['Mali']
kai,['Gibraltar']
kaia,['New Zealand']
kairo,['New Zealand']
kajus,['Lithuania']
kaloyan,['Bulgaria']
kamal,['Nepal']
kamile,['Lithuania']
karam,['Jordan']
karen,['Armenia']
kari,['Iceland']
karim,"['Egypt', 'Tunisia']"
karima,['Algeria']
karine,['Armenia']
karlis,['Latvia']
karolina,['Czechia']
katerina,"['Cyprus', 'North Macedonia']"
kathem,['Iraq']
katla,['Iceland']
kazi,['Bangladesh']
keanu,['New Zealand']
keven,['Aruba']
kevin,['Aruba']
khadije,"['Iran, Islamic Republic of']"
khaled,"['Egypt', 'Kuwait', 'Libya', 'United Arab Emirates']"
khawla,['Tunisia']
kiara,"['India', 'New Zealand']"
kiran,['Nepal']
kirollos,['Egypt']
kiwa,['New Zealand']
klea,['Albania']
koa,['New Zealand']
konstantina,['Greece']
konstantinos,"['Cyprus', 'Greece']"
konul,['Azerbaijan']
kora,['New Zealand']
krishna,"['India', 'Nepal']"
ksenija,['Montenegro']
kyra,['Jamaica']
kyriaki,['Cyprus']
laia,['Spain']
lamija,['Bosnia and Herzegovina']
lan,['Slovenia']
lana,['Slovenia']
lara,"['Hungary', 'Luxembourg', 'Serbia']"
latifa,['Saudi Arabia']
laura,"['Austria', 'Brazil', 'Poland']"
lavi,['Israel']
layla,['Lebanon']
lazar,['Montenegro']
lea,"['Austria', 'Canada', 'Faroe Islands', 'Serbia']"
leah,"['El Salvador', 'Israel', 'Norway']"
leandra,['Albania']
leano,['Liechtenstein']
leen,['Jordan']
leevi,['Finland']
leja,['Lithuania']
lejla,['Bosnia and Herzegovina']
lena,"['Austria', 'Hungary', 'Poland']"
leni,['Germany']
lenna,['Estonia']
leo,"['Andorra', 'Australia', 'Canada', 'Finland', 'France', 'Guernsey', 'Isle of Man', 'Jersey', 'Liechtenstein', 'Luxembourg', 'New Zealand', 'Spain', 'United Kingdom']"
leon,"['Austria', 'Germany', 'Poland', 'Serbia', 'Switzerland']"
leonardo,"['Italy', 'Monaco', 'San Marino']"
leonor,['Portugal']
lesedi,['South Africa']
lethabo,['South Africa']
lethokuhle,['South Africa']
lev,['Russian Federation']
levente,['Hungary']
levi,['Netherlands']
lewis,['United Kingdom']
leyla,"['Azerbaijan', 'Iran, Islamic Republic of']"
lia,"['Ecuador', 'Israel', 'Panama']"
liam,"['Argentina', 'Belgium', 'Canada', 'Chile', 'Ecuador', 'El Salvador', 'Greenland', 'Ireland', 'Israel', 'Jamaica', 'Malta', 'Netherlands', 'Panama', 'Peru', 'Puerto Rico', 'Slovenia', 'Switzerland', 'United States']"
lian,"['Israel', 'United Arab Emirates']"
lianne,['Jordan']
lidia,"['Bolivia, Plurinational State of']"
liepa,['Lithuania']
lile,['Georgia']
lili,['Hungary']
lilien,['Hungary']
lilit,['Armenia']
lilja,['Finland']
lillie,['Isle of Man']
lilly,"['El Salvador', 'Isle of Man']"
lily,"['Ireland', 'Isle of Man', 'Jersey', 'New Zealand', 'United Kingdom']"
lin,['Israel']
lina,"['Belgium', 'France', 'Germany', 'Serbia', 'Switzerland']"
linda,['United States']
lio,['Switzerland']
lisakhanya,['South Africa']
liv,['Faroe Islands']
livia,['Canada']
liz,"['Brazil', 'Paraguay']"
ljiljana,"['Montenegro', 'Serbia']"
logan,['Canada']
lorenzo,['Italy']
louis,"['Belgium', 'Canada', 'France', 'Liechtenstein', 'Monaco', 'Switzerland']"
louise,"['Belgium', 'France']"
lourenco,['Portugal']
lovelie,['Haiti']
lovely,['Haiti']
lovro,['Slovenia']
luana,['Peru']
lubanzi,['South Africa']
luca,"['Australia', 'Guernsey', 'Hungary', 'Jersey', 'Liechtenstein', 'Luxembourg', 'Malta', 'Netherlands', 'New Zealand', 'Switzerland', 'United Kingdom']"
lucas,"['Belgium', 'Brazil', 'Chile', 'El Salvador', 'France', 'Gibraltar', 'Jersey', 'Netherlands', 'Norway', 'Panama', 'Peru', 'Puerto Rico', 'Spain', 'United States']"
lucia,"['Andorra', 'Panama', 'Spain']"
luciana,"['Colombia', 'Peru']"
lucija,['Croatia']
ludovica,['Italy']
luis,"['Albania', 'Ecuador', 'Liechtenstein', 'Panama', 'Paraguay', 'Peru']"
luiz,['Brazil']
luka,"['Austria', 'Croatia', 'Georgia', 'Montenegro', 'North Macedonia', 'Slovenia', 'Spain']"
lukas,"['Czechia', 'Estonia', 'Lithuania']"
lukne,['Lithuania']
lulwa,['Kuwait']
luna,"['Denmark', 'Puerto Rico', 'United States']"
lur,['Israel']
lusine,['Armenia']
lwandle,['South Africa']
lydia,['Algeria']
lyn,"['Israel', 'United Arab Emirates']"
lyna,['Algeria']
mabel,['Paraguay']
maddi,['Spain']
mael,['France']
maeva,['French Polynesia']
maha,"['Egypt', 'Saudi Arabia']"
mahamadou,['Mali']
mahammad,['Azerbaijan']
mahdi,"['Iran, Islamic Republic of']"
mahesh,['Nepal']
mahmoud,"['Egypt', 'Israel', 'Libya']"
maia,['New Zealand']
maite,['Brazil']
maja,"['El Salvador', 'Poland']"
maksim,['Belarus']
maksym,['Ukraine']
malachi,['Jamaica']
malak,"['Azerbaijan', 'Egypt', 'United Arab Emirates']"
malek,['Israel']
malen,['Spain']
malik,['Greenland']
malthe,['Denmark']
malu,['Greenland']
mamadou,['Mali']
manish,['Nepal']
manuel,"['Equatorial Guinea', 'Spain']"
manuela,['Brazil']
marama,['French Polynesia']
marc,"['Andorra', 'Spain']"
marcell,['Hungary']
marcia,['Brazil']
marco antonio,"['Bolivia, Plurinational State of']"
marcos,['Brazil']
mareva,['French Polynesia']
margaret,['United States']
margarida,['Portugal']
mari,['Armenia']
